,Start,End
0,2019-07-27 23:22:25.256259,2019-07-27 23:22:30.851431
1,2019-07-27 23:22:30.929544,2019-07-27 23:22:31.130086
2,2019-07-27 23:22:31.199129,2019-07-27 23:22:31.600666
3,2019-07-27 23:22:31.654058,2019-07-27 23:22:31.870747
4,2019-07-27 23:22:31.933198,2019-07-27 23:22:32.938680
5,2019-07-27 23:22:33.023845,2019-07-27 23:22:33.965681
6,2019-07-27 23:22:41.577420,2019-07-27 23:22:41.700226
7,2019-07-27 23:22:42.799965,2019-07-27 23:22:49.252493
8,2019-07-27 23:22:49.468547,2019-07-27 23:22:51.276814
9,2019-07-27 23:22:51.346371,2019-07-27 23:23:06.046259
10,2019-07-27 23:23:08.325246,2019-07-27 23:23:09.331555
11,2019-07-27 23:23:09.680216,2019-07-27 23:23:09.750024
12,2019-07-27 23:23:13.782374,2019-07-27 23:23:14.471808
13,2019-07-27 23:23:15.810310,2019-07-27 23:23:15.878828
14,2019-07-27 23:23:17.100103,2019-07-27 23:23:17.169129
15,2019-07-27 23:23:18.507110,2019-07-27 23:23:18.576088
16,2019-07-27 23:23:18.992616,2019-07-27 23:23:19.055111
17,2019-07-27 23:23:19.255441,2019-07-27 23:23:19.324450
18,2019-07-27 23:23:20.198928,2019-07-27 23:23:20.261908
19,2019-07-27 23:23:21.822182,2019-07-27 23:23:21.884665
20,2019-07-27 23:23:22.423924,2019-07-27 23:23:22.492928
21,2019-07-27 23:23:22.756532,2019-07-27 23:23:22.826090
22,2019-07-27 23:23:23.375206,2019-07-27 23:23:23.429226
23,2019-07-27 23:23:23.831315,2019-07-27 23:23:23.900007
24,2019-07-27 23:23:24.047681,2019-07-27 23:23:24.101628
25,2019-07-27 23:23:24.566451,2019-07-27 23:23:24.651379
26,2019-07-27 23:23:24.782919,2019-07-27 23:23:24.836666
27,2019-07-27 23:23:25.052266,2019-07-27 23:23:25.184134
28,2019-07-27 23:23:25.725002,2019-07-27 23:23:25.787484
29,2019-07-27 23:23:26.057531,2019-07-27 23:23:26.126688
30,2019-07-27 23:23:26.204784,2019-07-27 23:23:26.258727
31,2019-07-27 23:23:26.660795,2019-07-27 23:23:26.729834
32,2019-07-27 23:23:27.009461,2019-07-27 23:23:27.062841
33,2019-07-27 23:23:27.612316,2019-07-27 23:23:27.666227
34,2019-07-27 23:23:27.819342,2019-07-27 23:23:27.881835
35,2019-07-27 23:23:28.151524,2019-07-27 23:23:28.220513
36,2019-07-27 23:23:28.283004,2019-07-27 23:23:28.421780
37,2019-07-27 23:23:28.484475,2019-07-27 23:23:28.622791
38,2019-07-27 23:23:28.685287,2019-07-27 23:23:29.372392
39,2019-07-27 23:23:29.441909,2019-07-27 23:23:29.557983
40,2019-07-27 23:23:29.626587,2019-07-27 23:23:29.774212
41,2019-07-27 23:23:29.828149,2019-07-27 23:23:29.960163
42,2019-07-27 23:23:30.045070,2019-07-27 23:23:30.309116
43,2019-07-27 23:23:30.377603,2019-07-27 23:23:31.715306
44,2019-07-27 23:23:31.784284,2019-07-27 23:23:32.335969
45,2019-07-27 23:23:32.455718,2019-07-27 23:23:38.730318
46,2019-07-27 23:23:38.869101,2019-07-27 23:23:39.070116
47,2019-07-27 23:23:42.836915,2019-07-27 23:23:43.052488
48,2019-07-27 23:23:43.106115,2019-07-27 23:23:43.322670
49,2019-07-27 23:23:43.724421,2019-07-27 23:23:43.910013
50,2019-07-27 23:23:45.218514,2019-07-27 23:23:45.281343
51,2019-07-27 23:23:45.346173,2019-07-27 23:23:45.554612
52,2019-07-27 23:23:45.616448,2019-07-27 23:23:45.682272
53,2019-07-27 23:23:45.744101,2019-07-27 23:23:45.801817
54,2019-07-27 23:23:45.948933,2019-07-27 23:23:46.133964
55,2019-07-27 23:23:46.218580,2019-07-27 23:23:46.350126
56,2019-07-27 23:23:46.403825,2019-07-27 23:23:46.482461
57,2019-07-27 23:23:46.550958,2019-07-27 23:23:50.518381
